dr,name,citsci
dr15910,"Macroalgal coverage from video surveys of long spined sea urchin (Centrostephanus rodgersii) barrens habitat, eastern Tasmania, Australia (2001-2002)",N
dr7426,"IMOS - Phytoplankton Abundance and Biovolume (CPR), Australia (2007 to present)",N
dr10574,Tasmanian Herbarium (HO) AVH data,N
dr23153,"GPS tracking and dive data from 84 foraging trip tracks of Little Penguins (32 female, 31 male) , Port Campbell, Victoria, Australia (2012-2013)",N
dr15882,"Belt transect surveys to monitor benthic community structure at selected research and control sites, east coast Tasmania, Australia (2008-2011)",N
dr343,Northern Territory Museum and Art Gallery provider for OZCAM,N
dr7436,"CSIRO, Cruises, Vertebrate and Invertebrate Fishery Bycatch, North Australia, 1997",N
dr341,Australian National Wildlife Collection provider for OZCAM,N
dr19123,NatureMapr,Y
dr4766,River Murray Phytoplankton Monitoring,N
dr92,ARGOS Satellite Tracking of animals,N
dr130,Australian National Insect Collection,N
dr347,Tasmanian Museum and Art Gallery provider for OZCAM,N
dr7449,"CSIRO, North West Shelf Demersal Marine Resources Study 1980-1997",N
dr15867,Australian Tropical Herbarium (CNS) AVH data,N
dr9966,The Australian Phytoplankton Database (1844 onwards),N
dr711,Fungimap,Y
dr9912,"Australian Institute of Marine Science (AIMS) Long-term Monitoring Program: Visual Census Fish Data (Great Barrier Reef), Australia (1992 to present)",N
dr165,Seabirds of the Southern and South Indian Ocean,N
dr23183,"Tracking of Little Penguins (Eudyptula minor) from Montague and Bowen Islands, New South Wales coast, Australia (2012 - 2014)",N
dr2244,Sustainable Rivers Audit,N
dr7439,"AIMS, Long-Term Fish Visual Census, Great Barrier Reef, Northeast Australia, 1992-2015",N
dr18218,Qweeds - Queensland,Y
dr364,ALA species sightings and OzAtlas,Y
dr7437,"CSIRO, Soviet Fishery Data, Australia, 1965-1978",N
dr658,European Molecular Biology Laboratory Australian Mirror,N
dr345,Queen Victoria Museum Art Gallery provider for OZCAM,N
dr413,Australian Plant Image Index,N
dr19813,FeralScan,Y
dr23118,"IMOS - AATAMS Facility Satellite Relay Tagging Program - Satellite tracking of pinnipeds - Delayed mode data, 2007-2017",N
dr6687,"Marine Commercial Fish Survey (FV Kapala, FV Trader Horn, FV Shelley, FV Kirrawa, FV May Bell) in the East and South East Australian Region from 1975 to 2008",N
dr8212,Conservation Atlas Surveys,N
dr893,BowerBird,Y
dr1010,ClimateWatch,Y
dr7427,"CSIRO, South East Fishery Habitat Ecosystem Study, Southeast Australia, 1993-1997",N
dr15870,N.C.W. Beadle Herbarium (NE) AVH data,N
dr15932,Polychaetes of Northern Australia (species identifications) Australia (2009-2012),N
dr4256,MDFRC macroinvertebrate survey,N
dr807,NIWA freshwater fish,N
dr23200,"Fish sampling, Peel-Harvey Estuary, Western Australia (2009-2011)",N
dr9946,"Investigation of School and Gummy Shark Nursery Areas in South East Tasmania, Australia, 1991-1997",N
dr2014,CSIRO Bee Trap Surveys,N
dr15897,"HMAP Dataset 02: SE Australian Trawl Fishery II: Fish (various) landings and fishing effort, South East Australia, 1937-1943",N
dr360,Encyclopedia of Life Images - Flickr Group,Composite
dr23114,eDNA samples from the surface ocean to the seafloor collected by RV Investigator voyage IN2017_V01 - Linking Modern and Paleo-Genetics at the Sabrina Coast East Antarctica (2017),N
dr380,QLD DERM Coastal Bird Atlas (Trial),N
dr7429,"Bureau of Rural Sciences, Commercial Fisheries Presence, Australia, 2000-2002",N
dr15931,"Pilbara Marine Conservation Partnership BRUVS data, Australia (2014 - 2015)",N
dr15898,"HMAP Dataset 03: SE Australian Trawl Fishery III: Fish (various) landings and fishing effort, South East Australia, 1951-1957",N
dr4830,"Birds of Rottnest Island, Western Australia, 1981 - 2007",N
dr367,Waite Insect and Nematode Collection,N
dr129,Pelagic Fish Observations 1968-1999,N
dr732,Northern Gulf Fauna Survey,N
dr920,PaDIL Bee records,N
dr23233,"Year-round at-sea movements of fairy prions (Pachyptila turtur)  from Kanowna Island, Bass Strait, south-eastern Australia (2017-2020)",N
dr17655,Canterbury Museum Mayfly Collection,N
dr9967,The Australian Zooplankton Database (1938 onwards),N
dr6249,Fish and zooplankton from RMT-8 net hauls on the BROKE voyage,N
dr9945,IMOS National Reference Station (NRS) - Zooplankton Abundance,N
dr17505,"Dredge, trawl and bycatch records from the northern section of the Great Barrier Reef, Australia (1991-1996)",N
dr9951,"North Marine Region demersal fish and invertebrate collection records (DEW collation), Australia (1980 - 1997)",N
dr16813,"Mangroves of the Northern Territory, 1:100,000, Australia (1996)",N
dr794,Weed and native flora data for the Swan Coastal Plain,N
dr23232,"Marine Microbes from RV Investigator voyage IN2014_E03, Australia (2014)",N
dr349,Australian National Fish Collection (ANFC),N
dr5018,WCPS Bird Survey Project,Y
dr1856,Salinity Action Plan Flora Survey,N
dr9928,IMOS - Larval Fish Sub-Facility - Database of Marine Larval Fish Assemblages in Australian temperate and subtropical waters (1983 - ongoing),N
dr15903,"Hoplostethus atlanticus (Orange Roughy) length weight data, Australian waters (1987-2012)",N
dr18772,"BRUVS data from Southwest Corner Marine Park, Western Australia (2020-2023)",N
dr23651,"Benthic habitats of Yanyuwa Sea Country, Barni - Wardimantha Awara Indigenous Protected Area, Gulf of Carpentaria, Northern Territory, Australia (NESP MaC Project 1.12, JCU & CDU)",N
dr4638,Bathing Birds - National Parks Association NSW and Birdlife Australia,Y
dr15929,"Phytoplankton and zooplankton abundance off New South Wales (~30S, 153E), Australia in 2011/2012",N
dr23213,"Catch composition and measurement records from trawling, RV Investigator voyage IN2017_V05, North West Shelf, Australia (2017)",N
dr671,Banded Iron Formation and Greenstone survey data,N
dr9964,"TRIAP Franklin 2008 Waterbirds - Marine records, Northern Australia (1900-2002)",N
dr23141,"Ningaloo Outlook turtle tracking of Green turtles (Chelonia mydas), Western Australia (2018-present)",N
dr23147,"Tracking of Little Penguins (Eudyptula minor) from Montague Islands, New South Wales coast, Australia (2012-2019)",N
dr23181,"NESP A12: Northern Australia threatened species, Australia (1905-2020)",N
dr7231,Tamborine Mountain Weekly Bird Observations,Y
dr23219,Australian Waterbird Surveys (1983-2018),N
dr15901,Historic whale catch data from Australian whaling stations (1925-1978),N
dr7442,CSIRO - Great Barrier Reef seabed biodiversity study 2003-2006,N
dr23226,Queensland Coastal Wetlands Resources Mapping Data - Mangroves,N
dr635,NatureShare,Y
dr7970,Reef Life Survey: Cryptic Fish,Y
dr15896,"HMAP Dataset 01: SE Australian Trawl Fishery I: Fish (various) landings and fishing effort, South East Australia, 1918-1923",N
dr375,BOLD - Australian records,N
dr7858,Advanced Ecological Knowledge and Observation System,N
dr23220,"Australian Institute of Marine Science (AIMS) - Baited Remote Underwater Video Station (BRUVS), Australia (1999 to present)",N
dr7732,Australian River Assessment System,N
dr686,Wolli Creek Preservation Society Bird Survey,Y
dr23825,"New Zealand sea lion (Phocarctos hookeri) movement and dive data - Campbell Island/Motu Ihupuku, New Zealand (2012-2015)",N
dr9963,South East Fishery (SEF) Ecosystem Study 1993-1996: Fish Diet Data. Australia (1993-1997),Y
dr13282,The University of Melbourne Herbarium (MELU) AVH data,N
dr836,Lizard Island Research Station,N
dr7452,Seabird Atlas of South-eastern Australian Waters 1975-1993,N
dr88,"Elephant Seal Sightings, Macquarie Island",N
dr15916,"NT Alligator Rivers Region Aerial Survey Raw Bird Count, Northern Territory, Australia (1981 - 1984)",N
dr4645,NSW Waterwatch,Y
dr9925,"Condition of rocky reef communities around Tasmania: algal surveys, Australia (1992-1995 and 2006-2007)",N
dr23245,Seabird Atlas of South-eastern Australian Waters 1975-1993,N
dr793,ForestCheck Invertebrates,N
dr837,"Australian Native Plants Society, Canberra Region",Y
dr23154,"Kelp habitat density and composition from underwater video, east coast Tasmania, Australia (2020-2021)",N
dr23175,"eDNA metabarcoding survey of tropical northwestern Australia, Indian Ocean (2017-2018)",N
dr16457,Butterflies Australia,Y
dr23172,"Benthic habitats of Marra Sea Country - Gulf of Carpentaria, Australia (2021)",N
dr15868,James Cook University Herbarium (JCT) AVH data,N
dr15939,"Surveys of long spined sea urchin (Centrostephanus rodgersii) and barrens habitat, Kent Group, Tasmania 2000",N
dr16814,Port Phillip Bay Environmental Study Data 1992-1996 - benthic records,N
dr11194,Tanami Pipeline Project Records,N
dr15881,"At-Sea Observations of Seabirds 1969 to 1990, Tasman Sea, New Zealand and Australian waters",N
dr14787,John T. Waterhouse Herbarium (UNSW) AVH data,N
dr672,Swan Coastal Plain Survey   ,N
dr9927,"Condition of rocky reef communities around Tasmania: invertebrate surveys, Australia (1992-1995 and 2006-2007)",N
dr23152,"Quantitative Diatom data collected from the RV Investigator voyage, IN2017_V01, Sabrina Coast, Antarctica (2017)",N
dr9944,IMOS National Reference Stations (NRS) Phytoplankton Abundance and Biovolume,N
dr15924,"Northern Australian Marine Invertebrate Catalogue, Australia (2009-2012)",N
dr23136,"Home range and core range of little penguins in Port Phillip Bay, Victoria, Australia (2008 - 2012)",N
dr9947,Jervis Bay Marine Ecological Studies (JBMES) 1988-1991,N
dr1818,Banksia Atlas,N
dr9662,Brisbane City Council,N
dr86,"Weddell Seal Sightings, Vestfold Hills, Antarctica",N
dr15919,"NT Waterbird Colonies Species, Northern Territory, Australia (1990-1999)",N
dr16908,"BRUVS observations at Ningaloo Marine Park, Western Australia (2019)",N
dr23243,"Algae of the Recherche Archipelago , Western Australia (2002-2003)",N
dr23828,Reef shark prey abundances from 46 sites in the Solomon Islands (2015),N
dr9965,Tasmanian Marine Molluscs Observational Records (2003-2017),N
dr21985,National Seed Bank,N
dr7443,"CSIRO, Abundance and distribution of orange roughy in southeast Australian waters 1987-1979",N
dr7448,"CSIRO, fish surveys by the Courageous, 1978-1979",N
dr90,Australian Antarctic Division Herbarium,N
dr15907,"Jervis Bay Infaunal species level data, Australia (2008)",N
dr9926,"Condition of rocky reef communities around Tasmania: fish surveys, Australia (1992-1995 and 2006-2007)",N
dr23242,"Fish of the Recherche Archipelago , Western Australia (2002)",N
dr4659,Upper Murrumbidgee Waterwatch,Y
dr23223,"Australian Institute of Marine Science (AIMS) - Great Barrier Ref (GBR) Nearshore Coral Diversity, Queensland, Australia (1994 - 1997)",N
dr23148,Microphytoplankton abundance and composition data collected from the Port Hacking 100m station 1998-2009,N
dr23157,"MIDOC fish and micronekton samples - RV Investigator voyage IN2017_V04, Tasman Sea (2017)",N
dr23201,"Tracking  speartooth sharks (Glyphis glyphis) and  bull sharks (Carcharhinus leucas), Wenlock and Ducie rivers, Cape York, Australia (2014-2018)",N
dr9916,"Surveys of Octocoral communities, benthic cover and environmental factors on coral reefs of the Great Barrier Reef, Australia (1996 to present)",N
dr23129,"WAMSI Node 3.1.1b and 3.2.2 - Ecosystem Effects of Fishing: finescale coral reef fish surveys Ningaloo Reef, Australia (2006)",N
dr7450,"CSIRO, Rachel Cruises, Shark Data, Arafura Sea, North Australia, 1984",N
dr15023,Eyre Peninsula's Bird Monitoring Program,Y
dr21991,The Western Australian Seed Centre (Kings Park),N
dr5329,ReefWatch,Y
dr2270,North East Dung Beetle Project,Y
dr16853,Port Adelaide Enfield Flora & Fauna Monitoring,Y
dr22303,Insect Investigators,Y
dr820,Records of the Australian National Botanic Gardens Seedbank,N
dr23207,"Foraging behaviour in the Short-Tailed Shearwater (Puffinus tenuirostris) using GPS, Bass Strait, Australia (2012)",N
dr23128,"Fine-scale variability in catch and growth rates of western rock lobsters (Panulirus cygnus), Western Australia (2017-2019)",N
dr7456,"Bottom Trawl Surveys: Catch and Effort Data For South East Australia, 1898-1996",N
dr23826,"Stereo-BRUVs and BOSS observations in the Ningaloo Marine Park, Western Australia (2021)",N
dr159,ABBBS Bird Banding records from the Australian Antarctic Territory and Heard Island,N
dr15584,Dung Beetle Ecosystem Engineers,N
dr1975,Gang-gang cockatoo survey,Y
dr7431,"CSIRO, fish surveys by the Soela, 1980s",N
dr17465,Echidna-CSI,Y
dr14333,"At-sea GPS tracks of little penguins (Eudyptula minor) tagged at three colonies around Storm Bay (Boronia Beach, Wedge Island and Bruny Island Neck), Tasmania, Australia over the 2015/16 summer breeding season.",N
dr22285,Kings Park Botanical Gardens,N
dr737,Melbourne Water Frog Census,Y
dr714,Gaia Guide,Y
dr23165,"Stereo-BRUVS observations from eight sites along the Western Australian coast, Australia (2007-2008)",N
dr15772,Janet Cosh Herbarium (WOLL) AVH data,N
dr791,Records of the WA Seed Technology Centre,N
dr402,PaDIL,N
dr642,"The distribution and host range of the pandemic disease chytridiomycosis in Australia, spanning surveys from 1956 to 2007. ",N
dr743,Records of the Queensland Plant Pathology Herbarium,N
dr2008,ACT Wildlife Atlas,N
dr9950,"North Marine Region sea snake collection records (DEW collation), Australia (1877-2007)",N
dr23123,eDNA samples from the gut content and gut lining of Lanternfish for DNA metabarcoding using Nanopore short-read sequencing method along the 110E meridian Second International Indian Ocean Expedition (IIOE-2) expedition RV Investigator voyage IN2019_V03 (2019),N
dr23225,"Seagrass coverage in Cockburn Sound, Western Australia (1999)",N
dr16778,Wildlife Watch NSC,Y
dr7424,"CSIRO, SRFME, Algal Biomass, Perth region, Southwest Australia, 2003-2005",N
dr726,PlantBank Records,N
dr23110,The Australian PlantBank,N
dr23218,"Northern Pelagic Shark Tagging Data 1983-1985 (releases), 1983-1997 (recaptures), tropical waters of Australia",N
dr23171,"Fish monitoring of the shelf region of the Huon Australian Marine Park, Tasmania, Australia (2021)",N
dr22983,Tasmanian Museum and Art Gallery -Tissue Collection,N
dr16004,"Benthic survey of Dugong and Turtle seagrass habitats in the North-West Torres Strait for November 2015 and January 2016 (NESP TWQ 3.5, TropWATER, JCU)",N
dr909,South Coast Survey,N
dr16815,Port Phillip Bay Environmental Study Data 1992-1996 - infauna records,N
dr669,The Orchid Atlas of Western Australia,Composite
dr7444,"Seabird Observations, Storm Bay, Tasmania, Australia, 1991-1994",N
dr689,NSW South Coast & ACT plants,Y
dr97,"APIS - Antarctic Pack Ice Seals 1994-1999, plus historical data from the 1980s",N
dr16872,City of Gold Coast Koala Sightings,Y
dr23222,"Australian Institute of Marine Science (AIMS) - Nearshore Corals Survey, Queensland, Australia (2004)",N
dr1857,Greenstone Ranges Survey,N
dr16223,Australia's Census of Antarctic Marine Life project - IYGPT Data collected on the CEAMARC cruise 2007/08,N
dr18775,"Seabird observations in Australian and adjacent seas from voyages of the RV Franklin, RV Southern Surveyor, Southern Supporter and RV Aurora Australis (1988-2012)",N
dr10043,FrogWatch SA,Y
dr7458,"CSIRO, Tropical Zooplankton Biomass and Composition, Albatross Bay - Gulf of Carpentaria, North Australia 1986-1988",N
dr23131,"Habitat map of seagrass cover in Moreton Bay, Queensland, Australia 2004 and 2011",N
dr15892,"Ecology / Infaunal morphospecies identifications from the Vlaming Sub-basin (GA0334), Australia (2012-2013)",N
dr15784,"Transcription of K. H. L. Key and associates' field notebooks on grasshopper occurrences (Morabidae, Pyrgomorphidae, Acrididae and Tetrigidae)",N
dr795,Records of the DAFWA Plant Pathology Collection,N
dr444,Native Australian millipedes in Tasmania,N
dr15869,La Trobe University Herbarium (LTB) AVH data,N
dr935,Darling Scarp Survey,N
dr17831,Northern Rivers Koala Habitat Restoration Project,Y
dr2262,ERBG AVH data,N
dr16185,"RV Investigator Voyage IN2016_V01 Seabird Observations, Australia (2016)",N
dr670,Ravensthorpe Range survey data  ,N
dr17832,"Southern Surveyor Voyage SS 02/95 prawn survey in the Gulf of Carpentaria, Australia (Feb-Mar 1995)",N
dr8128,Australian Platypus Conservancy,Y
dr797,Whicher Scarp Flora Survey,N
dr17835,"Southern Surveyor Voyage SS 10/95 survey in the Gulf of Carpentaria, Australia (Nov 1995)",N
dr16242,"Snow Petrel census, Reeve Hill, Windmill Islands, East Antarctica (1984-2003)",N
dr89,Whale catches in the Southern Ocean,N
dr23146,Moreton Bay 2011 post flood - bio-optical and phytoplankton data,N
dr9961,School and gummy shark tagging by CSIRO in southern Australia: 1947-1956,N
dr16224,Abundances of benthic invertebrate species in the CEAMARC region 2007/08,N
dr16847,"Monitoring of humpback whales in the Pender Bay, Kimberley region, Western Australia, Australia (2009 - 2012)",N
dr16138,North East Dung Beetle Project,Y
dr17878,"Seabird diet data from the northern section of the Great Barrier Reef, Australia (1991-1996)",N
dr16646,East Torres Strait Seacucumber Survey 2005,N
dr16006,"Surveys of benthic organisms, reef fishes and manta tow surveys of Capricorn Bunker reefs in October 2015 (NESP TWQ 3.7, AIMS)",N
dr23199,"WAMSI Node 3.2.2b - Diversity, abundance and distribution of intertidal invertebrate species in the Ningaloo Marine Park - Quadrats, Australia (2010)",N
dr21992,The Western Australian Seed Centre (Kensington),N
dr23228,"Mangrove mapping of Bynoe Harbour, Northern Territory, Australia (2000)",N
dr23124,Inventory of Australian seabird colonies (1877-1999),N
dr684,Scleractinia of Eastern Australia - AIMS Monograph Series - John (Charlie) Veron,N
dr23145,"Satellite Tracking of Dugongs and Green Turtles in Torres Strait and Shoalwater Bay, Queensland, Australia (2009-2012)",N
dr23180,Tracking the common diving petrel (Pelecanoides urinatrix) from 3 sites in the Southern Ocean (2016-2019),N
dr746,Arthur Chapman Observations,Y
dr692,Reiner Richter Odonata,Y
dr647,Australian Coral Ecoregions,N
dr7435,"CSIRO, Catch records from eddy studies off the New South Wales coast, Australia 1979-1980",N
dr15942,West Australian Marine Science Institute Node 4.2 BRUVS deployments (2008-2010),N
dr99,Macquarie Island Fur Seal Database,N
dr15887,"Carnarvon Shelf species level infauna data, Australia (2008)",N
dr7447,"CSIRO, Cruise SS200510, Benthic Biodiversity, Western Australia, 2005",N
dr4218,School of Ants,Y
dr15938,"Solenosmilia matrix annotations and VME habitat identification in video from voyage IN2018_V06, Australia (2018)",N
dr16235,"Snow Petrel nest census, Mawson region 2004/05",N
dr16180,"Great Australian Bight Research Program, Australia (2015-2017)",N
dr7433,"CSIRO, Fish Survey, Albatross Bay - Gulf of Capentaria, North Australia, 1986-1988",N
dr9919,CSIRO Marine Invertebrates Image Collection (MIIC),N
dr9948,"Marine Turtle Nesting Locations, Queensland and Northern Territory coastlines, Australia 1915-2012",N
dr143,RMT Trawl catch from the 1995/96 V4 BROKE voyage,N
dr17770,IBSA Surveys from Bennelongia Environmental Consultants,N
dr23216,"Southern Surveyor Voyage SS 03/2005 Box Core Infauna Samples, Gulf of  Carpentaria, Australia (2005)",N
dr15909,"Lord Howe Island Infaunal data, Australia (2008)",N
dr23239,"Absolute abundances of organic-walled dinoflagellate cysts from 116 marine surface samples, eastern Indian Ocean (1990-2006)",N
dr9959,"Satellite tagging of female hawksbill sea turtles (Eretmochelys imbricata) nesting on Groote Eylandt, Northern Territory, 2009-2011",N
dr17833,"Southern Surveyor Voyage SS 03/2005 Prawn Trawl Samples, Gulf of Carpentaria, Australia (2005)",N
dr16181,Gulper shark line selectivity project - Data 2011-2012,N
dr15943,"Zooplankton sampling in the coastal waters of south eastern Tasmania, Australia (2009-2015)",N
dr482,"Nest census, Windmill Islands 2002/03",N
dr15859,North Queensland Eucalypt records - Don Franklin,Y
dr23109,South Australian Seed Conservation Centre,N
dr23166,"BRUVS data from Elizabeth and Middleton Reefs, Tasman Sea, Australia (2020)",N
dr16816,Port Phillip Bay Environmental Study Data 1992-1996 - trawl records,N
dr9958,"Rottnest Island lakes, swamps and coastal bird counts December 1981 to September 2007",N
dr16244,Zooplankton abundance in the Kerguelen Axis region 2016,N
dr23121,Surface eDNA samples of eukaryote micro- and mesoplankton along the 110E meridian (Second International Indian Ocean Expedition (IIOE-2) expedition) RV Investigator voyage IN2019_V03 (2019),N
dr7729,Banksia Woodlands Restoration Project Survey,N
dr2288,Australian National Insect Collection Image Library,N
dr15890,"Dugong (Dugong dugon) in the Kimberley - Aerial surveys, WAMSI Project 1.2.5, Australia (2009-2017)",N
dr85,"Weddell Seal census, Vestfold Hills, Antarctica",N
dr7434,"NORFANZ Biological Survey, Tasman Sea, Australia - New Zealand 2003",N
dr792,Western Australian Seabirds,N
dr725,"WA Department of Parks and Wildlife, Threatened Flora Seed Centre",N
dr23120,"Zooplankton samples from Heron net trawls along the 110E meridian, eastern Indian Ocean, RV Investigator voyage IN2019_V03 (2019)",N
dr23132,"An Estuarine Inventory for New South Wales, Australia",N
dr23127,Fatty acid profiles of marine consumer from the Southern Hemisphere (1990-2018),N
dr16268,High occurrence of jellyfish predation by black-browed and Campbell albatross identified by DNA metabarcoding 2017,N
dr660,Australian National Fish Collection Images,N
dr949,Shark Bay Survey,N
dr17884,Hunter - NSW Waterwatch,Y
dr14189,South East - NSW Waterwatch,Y
dr662,Panboola Wetlands Bird Surveys,Y
dr1840,Tasmanian Museum and Art Gallery provider for OZCAM-Arthropoda,N
dr15301,Molonglo Conservation Group - Upper Murrumbidgee Waterwatch,Y
dr15083,Tempe birdos,Y
dr23198,"Counts of migratory shorebirds in Roebuck Bay and Eighty Mile Beach, Western Australia (2012)",N
dr9923,"Central Great Barrier Reef shark nursery area survey (NERP TE 6.2, JCU), Australia (2011-2014)",N
dr17883,Cooma Region - Upper Murrumbidgee Waterwatch,Y
dr15904,"Hunter CMR - Cross shelf comparison BRUVS data, New South Wales, Australia (2014-2018)",N
dr23143,AIMS Long-term Monitoring Program: Video and Photo Transects (Great Barrier Reef) - coral cover on standard reefs and paired zoning reefs. Australia (2011-2013),N
dr23167,"BRUV data from the Beagle Australian Marine Park, Bass Strait, Australia (2018)",N
dr16844,Passive eDNA collection enhances aquatic biodiversity analysis,N
dr23176,"Passive eDNA collection enhances aquatic biodiversity analysis, Australia (2019)",N
dr23229,"Species identification of worms from grabs - Leveque Shelf (Browse Basin), Western Australia SOL5754 (GA0340)",N
dr18188,"Estuarine, salt lake and saltfield records (with occasional freshwater records and other terrestrial habitat flora records)",N
dr9943,"IMOS National Reference Station (NRS) - Picoplankton flow cytometry, Australia (2008 - 2018)",N
dr2428,Eugenia of the World,Y
dr15042,Southern ACT Catchment - Upper Murrumbidgee Waterwatch,Y
dr23138,"Biodiversity Characterisation of Pilbara Marine Regions (Epibenthic Sled, Trawl, Towed Video and Sediment), Australia (2013)",N
dr18302,Woodlark Mining Ltd,N
dr17506,"Seabird observations from the northern section of the Great Barrier Reef, Australia (1991-1996)",N
dr16220,Diatom abundance from CEAMARC coretop samples 2007/08,N
dr742,South Australian Museum Terrestrial Invertebrate Images,N
dr7445,"CSIRO, Cruise SS200705, Benthic Biodiversity, Northwest Australia, 2007",N
dr10631,Geelong Field Naturalists Club,Y
dr15930,"Phytoplankton sampling in the coastal waters of south eastern Tasmania, Australia (2009-2015)",N
dr23195,"Identifications of marine organisms from towed photo cameras, Kimberleys, Western Australia (1983-1997)",N
dr23168,"Planktic foraminifera counts from sediment core Fr1/94-GC3, Tasman Sea (1994)",N
dr23151,"Diatom data from the PC03 core from the RV Investigator voyage IN2017_V01, Sabrina coast, Antarctica (2017)",N
dr9960,"Satellite tracking of female olive ridley sea turtles (Lepidochelys olivacea) nesting in the Wessel Islands, Northern Territory, 2005",N
dr23182,"Great and Scalloped hammerhead sharks tracking study, Exmouth Gulf and Great Barrier Reef, Australia (2016-2018)",N
dr16846,Ashmore Reef Marine Park Environmental Assessment 2019 - marine fauna survey,N
dr16005,Patterns of abundance and size of dictyoceratid sponges among neighbouring islands in central Torres Strait (CRC-TS Project: Task Number T1.6a) 2005,N
dr16003,"AIMS Long-term Monitoring Program: Crown-of-thorns starfish and benthos Manta Tow Data, Great Barrier Reef, Australia (1983 - present)",N
dr141,RMT Trawl catch from the 1980/81 V5 FIBEX voyage,N
dr18714,Redmap,Y
dr2296,Christmas Island National Park Robber Crab (Birgus latro) Road Kill Monitoring,N
dr137,Electron Micrograph Database - Marine Specimens,N
dr15844,"Organism occurrence records identified from underwater still imagery collected around Lord Howe Island and Balls Pyramid, southwest Pacific Ocean",N
dr15888,"Classified benthic data for mesophotic organisms and substrates around the Lord Howe Island and Balls Pyramid shelves, southwest Pacific Ocean (2013)",N
dr9918,Australian Seagrass distribution Points Dataset 2005,N
dr932,Carnarvon Basin upland survey,N
dr21987,Victorian Conservation Seed Bank,N
dr4719,Murray-Darling Basin fish monitoring survey,N
dr4731,Murray-Darling Basin waterbird survey,N
dr472,Annotated Atlas of the Vascular Flora of Macquarie Island - 1979,N
dr17837,"WAMSI Node 3.2.1 - Diversity, abundance and habitat utilisation of sharks and rays, Ningaloo Marine Park, Western Australia (2007-2009) - dive data",N
dr23984,The Glenelg-Hopkins Soundscape Project - Frog Calls,Y
dr15934,SIO Marine Bird and Mammal Survey 2003,N
dr5017,Superb Parrot Monitoring project,N
dr136,Inventory of Antarctic seabird breeding sites,N
dr154,Invertebrates compiled by W.Block,Y
dr799,National Parks Association of NSW Great Koala Count,Y
dr7811,Carnarvon Basin Wetland Invertebrate Survey,N
dr16914,"WAMSI Node 3.2.2b - Diversity, abundance and distribution of intertidal invertebrate species in the Ningaloo Marine Park - Small giant clams (Tridacna maxima), Australia (2010)",N
dr23187,"Seagrass and associated benthic community data derived from field surveys at Low Isles, Great Barrier Reef, conducted July-August, 1997.",N
dr7809,Carnarvon Basin (Aquatic Projects) - Invertebrates,N
dr157,"Invertebrate survey, Heard Island 2001",N
dr18278,Gorse biocontrol,N
dr23179,Tracking two rehabilitated green turtles off Eastern Australia using satellite tags (2010 - 2011),N
dr21370,Entangled Wildlife Australia,Y
dr1030,Bush Heritage - Carnarvon Station Reserve,N
dr952,Fire in Gimlet Woodlands,N
dr18780,"eDNA metabarcoding survey of Cocos (Keeling) Islands, Indian Ocean (2017)",N
dr13540,Feral or in Peril,Y
dr15920,"National Waterbirds Survey, Northern Territory, Australia (2008)",N
